,fr_number,id,lp_bbox,lp_bbox_score,lp,lp_score
0,501,0,"[1492.5728759765625, 1130.0555419921875, 1649.5806884765625, 1296.165283203125]",0.25030240416526794,52,0.1285224378470834
1,513,0,"[1437.4718017578125, 1194.5670166015625, 1603.6417236328125, 1317.2095947265625]",0.3126043975353241,621,0.0742295749687664
2,522,0,"[1389.4820556640625, 1199.5059814453125, 1550.5052490234375, 1330.6787109375]",0.46437275409698486,521,0.995008105969803
3,539,0,"[1283.5455322265625, 1256.2325439453125, 1456.244384765625, 1363.8450927734375]",0.2702696919441223,EZ!,0.199461749899189
4,540,0,"[1279.4393310546875, 1256.19091796875, 1457.646728515625, 1359.744873046875]",0.3485923111438751,NJLEI,0.04678053862671958
5,541,0,"[1259.2884521484375, 1249.269287109375, 1455.547119140625, 1367.4583740234375]",0.3511177599430084,521,0.6592550494325088
6,545,0,"[1209.6016845703125, 1252.1060791015625, 1437.274169921875, 1358.9481201171875]",0.28805288672447205,52,0.99679564789034
7,546,0,"[1211.76171875, 1259.862060546875, 1425.2596435546875, 1366.8531494140625]",0.2719602584838867,521,0.6091533899307251
8,562,0,"[1131.7764892578125, 1268.4649658203125, 1343.7686767578125, 1388.757568359375]",0.2693837881088257,KJI521,0.4021908331372204
9,563,0,"[1111.7835693359375, 1268.8795166015625, 1322.5203857421875, 1390.0986328125]",0.4229556620121002,521,0.9999645549437236
10,565,0,"[1115.306884765625, 1278.2135009765625, 1322.9466552734375, 1386.78515625]",0.30322057008743286,MJLEZY,0.10124128355032119
11,567,0,"[1116.36083984375, 1288.8533935546875, 1289.009521484375, 1378.8671875]",0.2925123870372772,LE,0.10628287297691877
12,572,0,"[1109.1639404296875, 1292.337890625, 1304.32470703125, 1388.414794921875]",0.2541123628616333,K_,0.028354054975343827
13,575,0,"[1082.3433837890625, 1292.8466796875, 1289.7635498046875, 1398.916015625]",0.4295167326927185,M;_5Z1,0.14889992603477212
14,576,0,"[1071.9971923828125, 1294.411865234375, 1299.9854736328125, 1401.1048583984375]",0.45572537183761597,MJ_EL1,0.04264010091245692
15,577,0,"[1087.7000732421875, 1294.7388916015625, 1306.2379150390625, 1409.4852294921875]",0.4514252543449402,HLSZ1,0.025803042647817596
16,579,0,"[1077.69287109375, 1300.3275146484375, 1278.9093017578125, 1401.760986328125]",0.4054754078388214,E21,0.3555013183165968
17,580,0,"[1075.93359375, 1301.712890625, 1284.270751953125, 1400.2532958984375]",0.3752559423446655,521,0.9994377855427865
18,581,0,"[1082.704833984375, 1309.9483642578125, 1274.559814453125, 1401.161865234375]",0.33171215653419495,321,0.21096897515684376
19,582,0,"[1055.0042724609375, 1305.4376220703125, 1271.3170166015625, 1408.2608642578125]",0.2747994661331177,E2',0.15340662002563477
20,583,0,"[1083.9283447265625, 1313.600830078125, 1263.5244140625, 1399.189453125]",0.32621586322784424,521,0.9786191861949824
21,584,0,"[1076.9254150390625, 1306.9033203125, 1264.9798583984375, 1397.843994140625]",0.30106136202812195,KJ_521,0.1756763591730785
22,585,0,"[1071.60986328125, 1316.4071044921875, 1265.5284423828125, 1401.8946533203125]",0.3317960798740387,VI521F,0.164867069904471
23,586,0,"[1058.507568359375, 1310.436767578125, 1261.5426025390625, 1413.2498779296875]",0.3372650146484375,KJ_521,0.10709665095855776
24,588,0,"[1055.853515625, 1316.92529296875, 1254.440185546875, 1422.570556640625]",0.25927963852882385,KY,0.03383498831553152
25,589,0,"[1044.10546875, 1319.663818359375, 1260.2935791015625, 1420.6842041015625]",0.44660431146621704,521,0.5569318937270584
26,590,0,"[1049.2470703125, 1320.708984375, 1277.9952392578125, 1425.39013671875]",0.38795241713523865,52,0.991962059660333
27,591,0,"[1049.176513671875, 1320.21240234375, 1260.406982421875, 1415.2232666015625]",0.3224322199821472,KEZ',0.14532268047332764
28,595,0,"[1027.4898681640625, 1325.86083984375, 1244.98291015625, 1438.8603515625]",0.33659061789512634,K_521,0.4389981049123677
29,598,0,"[1030.6868896484375, 1344.575439453125, 1260.6322021484375, 1450.2027587890625]",0.27157193422317505,521,0.7418563961982727
30,599,0,"[1027.9857177734375, 1338.988037109375, 1260.191650390625, 1442.4781494140625]",0.3925592005252838,V3Z521,0.0163203111088423
31,600,0,"[1011.5505981445312, 1341.3681640625, 1262.552978515625, 1447.5177001953125]",0.41986900568008423,MYI-521,0.26560061554642955
32,601,0,"[1024.7139892578125, 1346.23583984375, 1261.22802734375, 1444.0621337890625]",0.4836103320121765,521,0.988310233449198
33,601,1,"[1008.1734008789062, 1334.7982177734375, 1264.2762451171875, 1465.04296875]",0.267680823802948,521,0.8348755240440369
34,602,0,"[1003.75732421875, 1343.8648681640625, 1258.030029296875, 1450.0814208984375]",0.4216991364955902,M352,0.4160776138305664
35,603,0,"[1000.7647705078125, 1345.964111328125, 1245.5980224609375, 1451.7371826171875]",0.34870338439941406,52,0.961474439908544
36,604,0,"[1027.7314453125, 1351.5118408203125, 1230.852783203125, 1443.099365234375]",0.2923355996608734,521,0.7194357494561536
37,605,0,"[1025.021484375, 1350.522216796875, 1243.2083740234375, 1450.2056884765625]",0.3267246186733246,M52,0.9540350158658633
38,606,0,"[1018.4197998046875, 1351.51953125, 1254.31640625, 1447.6337890625]",0.3979971408843994,521,0.5595775842666626
39,607,0,"[984.7525634765625, 1346.543701171875, 1258.281005859375, 1465.415771484375]",0.31455522775650024,HJL52,0.37535149857021854
40,608,0,"[1001.91455078125, 1348.6739501953125, 1253.703369140625, 1470.5335693359375]",0.3098551630973816,WJ_52,0.5668845600144202
41,609,0,"[992.7753295898438, 1356.7239990234375, 1234.159912109375, 1456.607666015625]",0.28061041235923767,MUL521,0.3284282208447413
42,611,0,"[1001.8001098632812, 1356.598388671875, 1244.173095703125, 1468.56298828125]",0.3239189088344574,MU_521,0.38094175119797424
43,612,0,"[998.5960693359375, 1357.915283203125, 1238.8670654296875, 1467.422607421875]",0.4402323365211487,52,0.9993684457559263
44,613,0,"[1007.1180419921875, 1360.590576171875, 1246.157958984375, 1466.7349853515625]",0.3195870816707611,MJL521,0.5139629929402988
45,615,0,"[1003.3203735351562, 1364.33837890625, 1231.8465576171875, 1459.3331298828125]",0.34757325053215027,MJL521,0.20840401550165077
46,617,0,"[998.0963745117188, 1367.8096923828125, 1241.6632080078125, 1460.7086181640625]",0.3327401876449585,MJL521,0.9038002235686752
47,618,0,"[990.1365966796875, 1365.48828125, 1232.5001220703125, 1484.2164306640625]",0.410517156124115,MUL5212,0.4145389663932345
48,619,0,"[981.0067749023438, 1363.0909423828125, 1231.6678466796875, 1482.3472900390625]",0.3710862994194031,MJL.521,0.703933834369083
49,620,0,"[981.9422607421875, 1369.1033935546875, 1251.258544921875, 1501.119873046875]",0.3858572542667389,MUL.52,0.7694352614658733
50,621,0,"[955.2978515625, 1364.3140869140625, 1261.572265625, 1507.5150146484375]",0.46458685398101807,MUL.52,0.4639755341495287
51,622,0,"[969.8490600585938, 1371.30224609375, 1266.3267822265625, 1509.0594482421875]",0.37866348028182983,MUL521,0.5681080976189172
52,623,0,"[972.0291137695312, 1377.9539794921875, 1247.21484375, 1501.7098388671875]",0.409359335899353,MJL52,0.6311221290382641
53,624,0,"[959.8991088867188, 1376.66357421875, 1246.20263671875, 1499.835693359375]",0.4674070179462433,MUL521,0.4969025160407355
54,625,0,"[969.9955444335938, 1376.94921875, 1224.828125, 1495.669677734375]",0.39463910460472107,521,0.999993943357101
55,626,0,"[975.2186279296875, 1375.9403076171875, 1213.2978515625, 1507.3206787109375]",0.3861156105995178,MUL521,0.7000821283841194
56,627,0,"[960.8633422851562, 1376.1185302734375, 1221.7537841796875, 1509.6060791015625]",0.3871738612651825,MUL-521,0.18996126273478306
57,628,0,"[958.7019653320312, 1381.892578125, 1245.298583984375, 1509.37353515625]",0.4180612862110138,MUL521,0.21125041949189638
58,629,0,"[967.8231811523438, 1388.05810546875, 1254.0506591796875, 1516.2491455078125]",0.4426628649234772,MUL521,0.5669323497173843
59,630,0,"[969.460205078125, 1387.2518310546875, 1244.679931640625, 1502.894287109375]",0.5141194462776184,MUL521,0.9569168655507808
60,631,0,"[959.895263671875, 1390.740966796875, 1252.5853271484375, 1508.0537109375]",0.5768164396286011,MUL.521,0.6483261821631509
61,632,0,"[946.3855590820312, 1390.6051025390625, 1239.601806640625, 1503.6353759765625]",0.5437350273132324,MUL521,0.744463243035103
62,633,0,"[943.1350708007812, 1389.59521484375, 1237.6004638671875, 1499.793212890625]",0.5746908187866211,MUL521,0.5923758985251428
63,634,0,"[949.9024658203125, 1387.880126953125, 1255.0352783203125, 1514.5946044921875]",0.5652225613594055,MUL521,0.905830176235741
64,635,0,"[952.493408203125, 1391.642333984375, 1253.196533203125, 1512.9859619140625]",0.48457732796669006,MUL521,0.9865917896228485
65,636,0,"[951.0079345703125, 1395.2945556640625, 1256.6337890625, 1527.327880859375]",0.534912645816803,MUL.521,0.5391708992025214
66,637,0,"[952.21435546875, 1395.3612060546875, 1259.086669921875, 1526.8260498046875]",0.5186609029769897,MUL.521,0.8210843292997017
67,638,0,"[954.3598022460938, 1396.7498779296875, 1256.3424072265625, 1519.7073974609375]",0.6019178628921509,MUL.521,0.5506980107777125
68,639,0,"[947.1221923828125, 1399.759765625, 1253.5975341796875, 1515.1700439453125]",0.5631000995635986,MUL521,0.5023687940796193
69,640,0,"[952.8583984375, 1401.6317138671875, 1249.200439453125, 1522.811279296875]",0.5161569118499756,MUL521,0.9283483642500703
70,641,0,"[949.4562377929688, 1396.1705322265625, 1254.1876220703125, 1534.1156005859375]",0.5502014756202698,MUL521,0.7917558802856978
71,642,0,"[944.9285888671875, 1401.6104736328125, 1250.464599609375, 1520.0758056640625]",0.5287637114524841,MUL5212,0.2419735768977849
72,643,0,"[953.41845703125, 1404.59033203125, 1254.0296630859375, 1544.420654296875]",0.5219654440879822,MUL521,0.9203747104076436
73,644,0,"[947.8026123046875, 1406.0736083984375, 1247.074951171875, 1545.10302734375]",0.5190192461013794,MUL.521,0.5377058947226133
74,645,0,"[948.0488891601562, 1412.0738525390625, 1261.1123046875, 1542.15966796875]",0.48240578174591064,MUL.521,0.30862427527905073
75,646,0,"[950.5599975585938, 1406.3782958984375, 1268.7152099609375, 1560.1524658203125]",0.5294183492660522,MUL-521,0.5618868780932881
76,647,0,"[950.3668212890625, 1408.47216796875, 1263.0867919921875, 1557.670166015625]",0.5798817873001099,MUL.521,0.41698996023170987
77,648,0,"[953.8950805664062, 1413.9979248046875, 1262.2874755859375, 1554.035888671875]",0.5382068157196045,MUL.521,0.2553919733964638
78,649,0,"[954.8530883789062, 1416.0108642578125, 1265.69287109375, 1558.79150390625]",0.5343655347824097,MUL521,0.7404331319543438
79,650,0,"[947.4095458984375, 1413.0384521484375, 1258.7613525390625, 1559.0826416015625]",0.542671799659729,MUL.521,0.5159937100296053
80,651,0,"[945.2125854492188, 1423.366455078125, 1261.867431640625, 1560.5384521484375]",0.615184485912323,MUL.521,0.5955860894245913
81,652,0,"[943.4712524414062, 1429.996337890625, 1259.232421875, 1556.56689453125]",0.6361019015312195,MUL521,0.7255478083268553
82,653,0,"[939.3372802734375, 1437.0538330078125, 1263.6712646484375, 1552.2132568359375]",0.5338068604469299,MUL521,0.9329135855561488
83,654,0,"[929.517333984375, 1433.7874755859375, 1254.1534423828125, 1558.910888671875]",0.608021080493927,MUL-521,0.7874899850339795
84,655,0,"[921.0100708007812, 1434.3419189453125, 1252.9241943359375, 1571.215576171875]",0.6098482608795166,MUL.521,0.767620300178774
85,656,0,"[931.7991943359375, 1437.0091552734375, 1266.4344482421875, 1571.8707275390625]",0.6246213912963867,MUL-521,0.6545967702960834
86,657,0,"[924.244140625, 1439.583984375, 1261.536865234375, 1577.688720703125]",0.5795798301696777,MUL.521,0.8432494776466611
87,658,0,"[928.1328735351562, 1442.04833984375, 1260.3798828125, 1576.9959716796875]",0.6235763430595398,MUL521,0.77556986175939
88,659,0,"[944.3236083984375, 1443.9283447265625, 1268.10986328125, 1593.8148193359375]",0.5846193432807922,MUL521,0.8076280381763857
89,660,0,"[940.82666015625, 1450.056884765625, 1267.0821533203125, 1586.789794921875]",0.5714929103851318,MUL.521,0.4821984189245213
90,661,0,"[936.6502075195312, 1453.2283935546875, 1279.873291015625, 1585.9146728515625]",0.5891885757446289,MUL.521,0.8811780906005738
91,662,0,"[951.9514770507812, 1453.7847900390625, 1270.031982421875, 1589.9970703125]",0.6271705031394958,MUL5210,0.5996669748373666
92,663,0,"[952.04296875, 1460.4942626953125, 1285.2147216796875, 1601.782470703125]",0.6223546862602234,MUL.521,0.7364087160534507
93,664,0,"[947.18701171875, 1464.4599609375, 1273.272216796875, 1599.071044921875]",0.5885032415390015,MUL521,0.8538603803431014
94,665,0,"[929.2529296875, 1473.428466796875, 1276.34326171875, 1587.760986328125]",0.596921980381012,MUL521,0.46040096066466213
95,665,1,"[929.7156372070312, 1446.13720703125, 1292.1798095703125, 1616.2701416015625]",0.2756630778312683,MUL-521,0.915870158390453
96,666,0,"[952.6065673828125, 1484.3446044921875, 1289.658447265625, 1584.072998046875]",0.583281934261322,MUL-521,0.9698483066290117
97,666,1,"[959.3124389648438, 1473.1962890625, 1299.6776123046875, 1612.634765625]",0.37728679180145264,MUL-521,0.45790426014484353
98,667,0,"[946.0933227539062, 1483.9969482421875, 1291.1309814453125, 1601.8883056640625]",0.5508125424385071,MUL-521,0.2636749469626195
99,668,0,"[956.0159912109375, 1486.3656005859375, 1298.299072265625, 1617.510498046875]",0.5599428415298462,MUL-521,0.3336952095931696
100,668,1,"[940.9854736328125, 1460.578369140625, 1321.4075927734375, 1631.9285888671875]",0.3307185471057892,MUL-521,0.5907585971115233
101,669,0,"[938.6683959960938, 1483.103759765625, 1294.4700927734375, 1623.8994140625]",0.5963936448097229,MUL.521,0.6497279330972543
102,670,0,"[944.1293334960938, 1489.825927734375, 1299.5101318359375, 1628.6019287109375]",0.6371161341667175,MUL-521,0.49042630730318326
103,671,0,"[944.004150390625, 1495.300048828125, 1281.93408203125, 1620.843017578125]",0.6007314324378967,MUL.521,0.333339460523012
104,672,0,"[943.6505126953125, 1495.7237548828125, 1288.529052734375, 1614.7305908203125]",0.5508338809013367,MUL-521,0.6458517647213826
105,673,0,"[948.7401123046875, 1492.51904296875, 1301.5887451171875, 1631.6484375]",0.6149072051048279,MUL521,0.6497162428459811
106,674,0,"[946.7682495117188, 1495.8775634765625, 1313.979248046875, 1649.0020751953125]",0.604468584060669,MUL-521,0.6476062738074964
107,675,0,"[954.1887817382812, 1500.0589599609375, 1299.198974609375, 1639.4403076171875]",0.6141775250434875,MUL-521,0.5967693747628693
108,676,0,"[967.8239135742188, 1506.0587158203125, 1300.4708251953125, 1636.439697265625]",0.5516439080238342,MUL521,0.31790514136284226
109,676,1,"[955.7023315429688, 1491.4263916015625, 1318.0777587890625, 1663.2686767578125]",0.2834864854812622,MUL-521,0.84145337313205
110,677,0,"[936.3839721679688, 1505.9710693359375, 1315.8427734375, 1649.5810546875]",0.587230384349823,MUL.521,0.656072784135157
111,678,0,"[957.629150390625, 1517.0145263671875, 1317.728759765625, 1663.1949462890625]",0.6020718216896057,MUL-521,0.9163303201543787
112,679,0,"[949.8958740234375, 1524.9136962890625, 1326.5120849609375, 1645.50146484375]",0.6295655965805054,MUL-521,0.9561109361981956
113,679,1,"[945.4090576171875, 1508.2752685546875, 1342.7637939453125, 1672.0323486328125]",0.4472174644470215,MUL-521,0.7699424793211028
114,680,0,"[937.4234619140625, 1524.155029296875, 1316.193603515625, 1665.8057861328125]",0.6823005080223083,MUL521,0.6156465200285929
115,681,0,"[940.5037231445312, 1523.4481201171875, 1334.0125732421875, 1669.99658203125]",0.6273476481437683,MUL-521,0.9773955421386714
116,682,0,"[940.3112182617188, 1530.2608642578125, 1336.321044921875, 1674.40625]",0.6512225866317749,MUL.-521,0.3715969025338333
117,683,0,"[946.2806396484375, 1539.5126953125, 1322.9964599609375, 1661.85205078125]",0.6147675514221191,MUL-521,0.5906462590824278
118,684,0,"[950.2482299804688, 1542.6968994140625, 1327.281982421875, 1678.3677978515625]",0.6170287132263184,MUL-521,0.9089473533822131
119,685,0,"[941.2481689453125, 1536.4581298828125, 1350.0340576171875, 1710.9503173828125]",0.6344102025032043,MUL_521,0.8506700763063929
120,686,0,"[963.9483032226562, 1551.673095703125, 1342.506591796875, 1698.9188232421875]",0.659790575504303,MUL521,0.7888833976064359
121,687,0,"[973.5404663085938, 1558.5728759765625, 1341.3619384765625, 1705.6761474609375]",0.6073898673057556,MUL-521,0.7136322464594299
122,688,0,"[981.232177734375, 1552.745361328125, 1349.542236328125, 1704.1376953125]",0.6134818196296692,MUL-521,0.7870216863402841
123,689,0,"[980.1095581054688, 1568.20947265625, 1341.9453125, 1693.5792236328125]",0.5816687345504761,MUL-521,0.9927276035456847
124,690,0,"[987.8360595703125, 1568.4130859375, 1360.196044921875, 1711.4774169921875]",0.6153982281684875,MUL_-521,0.835555993202932
125,691,0,"[952.716064453125, 1572.7935791015625, 1357.294921875, 1703.54150390625]",0.604603111743927,MUL-521,0.851019923302983
126,692,0,"[966.7373657226562, 1579.2850341796875, 1362.453857421875, 1705.4542236328125]",0.6730445623397827,MUL-521,0.8532384013654317
127,693,0,"[970.6466674804688, 1581.8526611328125, 1358.9677734375, 1693.36865234375]",0.7063081860542297,MUL-521,0.6983269130111923
128,694,0,"[961.2398071289062, 1584.560302734375, 1365.455322265625, 1716.7613525390625]",0.7054228782653809,MUL-521,0.4899029142297333
