,fr_number,id,lp_bbox,lp_bbox_score,lp,lp_score
129,695,0,"[973.8737182617188, 1585.3714599609375, 1379.638671875, 1732.7713623046875]",0.6913723945617676,MUL-521,0.600589466372597
130,696,0,"[977.3466796875, 1592.490966796875, 1400.248291015625, 1741.724853515625]",0.7069465517997742,MUL521,0.43906023174541847
131,696,1,"[961.7462768554688, 1570.53662109375, 1413.218017578125, 1770.8565673828125]",0.2788242697715759,MUL-521,0.9471126343318502
132,697,0,"[996.8646240234375, 1591.5523681640625, 1377.585205078125, 1737.3314208984375]",0.6732407212257385,MUL.521,0.7540235120814607
133,698,0,"[973.9486083984375, 1591.4666748046875, 1406.6744384765625, 1757.7301025390625]",0.5996511578559875,MUL-521,0.5378579340285677
134,699,0,"[975.9585571289062, 1595.6641845703125, 1410.6683349609375, 1758.0325927734375]",0.6453987956047058,MUL521,0.503579279143262
135,700,0,"[992.127685546875, 1605.6302490234375, 1392.687744140625, 1740.6690673828125]",0.6476328372955322,MUL-521,0.7577892963661796
136,700,1,"[969.739013671875, 1588.343994140625, 1407.353759765625, 1768.175537109375]",0.31099122762680054,MUL-521,0.8096727764007907
137,701,0,"[988.342529296875, 1603.5867919921875, 1413.3006591796875, 1768.0411376953125]",0.6626436114311218,MUL_521,0.7183626149037748
138,702,0,"[993.5013427734375, 1610.067626953125, 1415.8699951171875, 1757.1405029296875]",0.6669638156890869,MUL521,0.6044692347235341
139,703,0,"[984.5755004882812, 1615.1510009765625, 1409.6492919921875, 1763.2965087890625]",0.7078427076339722,MUL521,0.9998886485365684
140,704,0,"[993.5520629882812, 1616.7125244140625, 1415.419677734375, 1771.664794921875]",0.6546179056167603,MUL521,0.8080121224216137
141,705,0,"[993.221923828125, 1628.4136962890625, 1417.9805908203125, 1774.5758056640625]",0.7023881077766418,MUL-521,0.3375283306094729
142,706,0,"[988.271484375, 1633.16748046875, 1424.7930908203125, 1777.509521484375]",0.6936308741569519,MUL.521,0.3862082369504412
143,707,0,"[989.6709594726562, 1631.76611328125, 1443.9444580078125, 1794.9361572265625]",0.7083114981651306,MUL-521,0.9833913557009887
144,708,0,"[989.1810302734375, 1630.1458740234375, 1435.5093994140625, 1802.2349853515625]",0.6935921311378479,MUL-521,0.9992643140473538
145,709,0,"[1005.0655517578125, 1637.879150390625, 1426.6900634765625, 1804.6527099609375]",0.6469456553459167,MUL-521,0.603591340689816
146,710,0,"[1009.5142822265625, 1641.1864013671875, 1444.5552978515625, 1803.7803955078125]",0.7164060473442078,MUL-521,0.841866030485157
147,711,0,"[1000.78857421875, 1648.560791015625, 1432.46630859375, 1806.5994873046875]",0.6590216755867004,MUL-521E,0.6881568864848796
148,712,0,"[1004.1908569335938, 1654.9215087890625, 1439.876220703125, 1810.283935546875]",0.6667748689651489,MUL-521,0.9956600066183089
149,713,0,"[1006.2665405273438, 1656.6134033203125, 1446.5772705078125, 1808.8985595703125]",0.7165036201477051,MUL-521,0.9839025861167341
150,714,0,"[1001.8289794921875, 1659.5126953125, 1441.34326171875, 1816.822998046875]",0.6495847105979919,MUL-521,0.5216093000330492
151,715,0,"[1008.2376708984375, 1671.2967529296875, 1430.7333984375, 1808.5716552734375]",0.6980790495872498,MUL-521,0.9788095416076971
152,716,0,"[1012.9031982421875, 1676.414794921875, 1430.2587890625, 1804.7314453125]",0.688486635684967,MUL-521,0.6022186097114778
153,717,0,"[1021.4357299804688, 1673.7073974609375, 1470.2850341796875, 1823.2225341796875]",0.6906603574752808,MUL-521,0.9613999183778968
154,718,0,"[1005.7102661132812, 1678.5999755859375, 1460.093017578125, 1829.0189208984375]",0.7313747406005859,MUL_-521,0.728312201588192
155,719,0,"[1017.1268920898438, 1681.4117431640625, 1456.445556640625, 1837.7047119140625]",0.6659122109413147,MUL-521,0.9795680659141529
156,720,0,"[1013.2818603515625, 1678.5091552734375, 1480.192138671875, 1837.7244873046875]",0.6817489266395569,MUL-521,0.9938495234071648
157,721,0,"[1023.043212890625, 1692.0391845703125, 1493.2470703125, 1842.7393798828125]",0.6712498664855957,MUL-521,0.9955583491424762
158,722,0,"[1004.7606811523438, 1689.77685546875, 1465.657470703125, 1854.88232421875]",0.6847840547561646,MUL-521,0.9981216848748334
159,723,0,"[996.8206787109375, 1691.0885009765625, 1488.198486328125, 1861.8204345703125]",0.6930079460144043,MUL-521,0.9973667924162617
160,724,0,"[998.4263305664062, 1695.6566162109375, 1474.9901123046875, 1867.5794677734375]",0.7072374820709229,MUL-521,0.9222855662661748
161,725,0,"[1000.9462280273438, 1693.231201171875, 1475.268310546875, 1863.1190185546875]",0.7365479469299316,MUL-521,0.9994226324210805
162,726,0,"[1017.4993286132812, 1707.251953125, 1481.6993408203125, 1875.8818359375]",0.6784546971321106,MUL_-521,0.49680445083878233
163,727,0,"[1014.185302734375, 1721.895263671875, 1477.8358154296875, 1870.58642578125]",0.6686272025108337,MUL-521,0.9871448275398081
164,728,0,"[999.9375, 1710.034423828125, 1502.4869384765625, 1875.106201171875]",0.6551523208618164,MUL-521,0.9998994764776055
165,729,0,"[1029.903076171875, 1723.2535400390625, 1493.7440185546875, 1872.8082275390625]",0.6559941172599792,MUL-521,0.6368844478921647
166,730,0,"[1006.9524536132812, 1709.08935546875, 1505.2999267578125, 1906.722412109375]",0.6336996555328369,MUL-521,0.9923953652033143
167,730,1,"[1038.490478515625, 1735.49267578125, 1489.0467529296875, 1884.5654296875]",0.42483729124069214,MUL-521,0.9961460932966806
168,731,0,"[1026.031494140625, 1728.1065673828125, 1506.7137451171875, 1891.0506591796875]",0.6624491214752197,MUL-521,0.9957422596375235
169,732,0,"[1032.784423828125, 1731.1070556640625, 1516.849853515625, 1899.8614501953125]",0.6880472898483276,MUL-521,0.9928826080246856
170,733,0,"[1020.97119140625, 1735.3876953125, 1511.52392578125, 1896.418701171875]",0.6444795727729797,MUL-521,0.9967728233847415
171,734,0,"[1025.56494140625, 1738.8482666015625, 1510.6929931640625, 1899.5577392578125]",0.6744082570075989,MUL-521,0.6084211973039398
172,735,0,"[1029.1793212890625, 1742.177978515625, 1508.96630859375, 1905.0784912109375]",0.618318498134613,MUL-521,0.8396127055739689
173,736,0,"[1025.9151611328125, 1745.17138671875, 1540.341796875, 1911.80908203125]",0.6279837489128113,MUL-521,0.9437726931836175
174,737,0,"[1033.4124755859375, 1762.7215576171875, 1531.175537109375, 1919.4473876953125]",0.6378740668296814,MUL-521,0.9893730050365217
175,738,0,"[1025.6451416015625, 1760.6597900390625, 1518.472900390625, 1902.2406005859375]",0.6442093253135681,MUL-521,0.647187537249259
176,739,0,"[1037.5865478515625, 1773.752685546875, 1532.0089111328125, 1916.2783203125]",0.6395115852355957,MUL-521,0.9998783891032551
177,740,0,"[1044.32958984375, 1773.5496826171875, 1551.0977783203125, 1924.1099853515625]",0.7196852564811707,MUL-521,0.9950716122402755
178,741,0,"[1020.6192626953125, 1772.8172607421875, 1533.9671630859375, 1930.1824951171875]",0.693828821182251,MUL-521,0.9895837212792968
179,742,0,"[1032.1678466796875, 1776.254150390625, 1537.858642578125, 1931.6513671875]",0.6707308292388916,MUL-521,0.9960172025193231
180,743,0,"[1031.7264404296875, 1767.109619140625, 1539.1953125, 1946.58740234375]",0.6305992007255554,MUL-521,0.9199554387615979
181,744,0,"[1015.2802734375, 1773.7178955078125, 1546.64404296875, 1957.18701171875]",0.6477517485618591,MUL-521,0.9351340327456348
182,745,0,"[1033.9329833984375, 1783.5084228515625, 1546.1566162109375, 1948.08544921875]",0.6372984647750854,MUL-521,0.9999101552854878
183,746,0,"[1039.3641357421875, 1788.2523193359375, 1541.593505859375, 1950.0582275390625]",0.6411582231521606,MUL-521,0.9992138830098528
184,747,0,"[1028.300537109375, 1782.7796630859375, 1543.927001953125, 1965.1732177734375]",0.6767294406890869,MUL-521,0.8687031359528652
185,748,0,"[1033.9736328125, 1786.4381103515625, 1563.9345703125, 1963.0484619140625]",0.6475414633750916,MUL-521,0.9121340497296754
186,749,0,"[1027.276611328125, 1792.598876953125, 1549.5718994140625, 1981.03564453125]",0.6305712461471558,MUL-521,0.9486298830774919
187,749,1,"[1070.1650390625, 1814.532470703125, 1543.5498046875, 1949.9049072265625]",0.3734256327152252,MUL-521,0.6823988250660027
188,750,0,"[1033.9725341796875, 1804.2015380859375, 1540.0042724609375, 1959.6668701171875]",0.6320094466209412,MUL-521,0.8283372574742598
189,751,0,"[1037.1712646484375, 1811.612548828125, 1568.6533203125, 1965.59619140625]",0.6545700430870056,MUL-521,0.9924257631617773
190,752,0,"[1029.0228271484375, 1814.4517822265625, 1569.3995361328125, 1976.4188232421875]",0.6656426191329956,MUL-521,0.9172420340009075
191,753,0,"[1038.8343505859375, 1816.8907470703125, 1554.059326171875, 1980.1951904296875]",0.7001074552536011,MUL-521,0.8446757797253288
192,754,0,"[1039.0335693359375, 1813.16015625, 1561.9522705078125, 1985.5960693359375]",0.7225696444511414,MUL-521,0.9921508607335054
193,755,0,"[1036.225830078125, 1817.197021484375, 1559.9964599609375, 1989.3729248046875]",0.7089415788650513,MUL-521,0.9896494709452637
194,756,0,"[1040.1441650390625, 1831.6256103515625, 1562.5982666015625, 1986.6727294921875]",0.6280989646911621,MUL-521,0.888628212596476
195,757,0,"[1041.2744140625, 1831.1656494140625, 1566.5501708984375, 1980.4654541015625]",0.6625059247016907,MUL-521,0.9810919504895653
196,758,0,"[1051.6951904296875, 1828.207763671875, 1561.1484375, 1992.90087890625]",0.6584773659706116,MUL-521,0.992920760421901
197,759,0,"[1047.1212158203125, 1833.65185546875, 1566.2552490234375, 1999.7197265625]",0.6726866960525513,MUL-521,0.998566453950773
198,760,0,"[1053.2105712890625, 1840.642822265625, 1569.9365234375, 1998.43505859375]",0.6656534075737,MUL-521,0.7357664254147308
199,761,0,"[1061.1566162109375, 1846.0103759765625, 1570.6087646484375, 1992.3251953125]",0.7265825271606445,MUL-521,0.9965863032816094
200,762,0,"[1052.679931640625, 1837.4168701171875, 1584.95361328125, 1996.9068603515625]",0.7411324381828308,MUL-521,0.9459022752269451
201,763,0,"[1042.69091796875, 1836.837646484375, 1578.90576171875, 2004.239990234375]",0.7268779873847961,MUL-521,0.9630995082405496
202,764,0,"[1051.7178955078125, 1843.5008544921875, 1574.914794921875, 2012.006591796875]",0.6985311508178711,MUL-521,0.9984387460454074
203,765,0,"[1056.83251953125, 1852.2366943359375, 1563.4326171875, 2004.8177490234375]",0.6879197955131531,0,0.15131364894878008
204,766,0,"[1054.189453125, 1857.1319580078125, 1570.314697265625, 2003.7305908203125]",0.6689035296440125,4,0.3861346248985207
205,767,0,"[1065.0631103515625, 1865.882080078125, 1572.2852783203125, 2005.64501953125]",0.6706196069717407,MUL-521,0.9883289922080898
206,768,0,"[1059.8433837890625, 1862.9461669921875, 1577.561279296875, 2005.7607421875]",0.6866229176521301,MUL-521,0.9612461941471234
207,769,0,"[1057.24560546875, 1855.53076171875, 1574.385498046875, 2013.25927734375]",0.6576706767082214,MUL-521,0.6918648361441052
208,770,0,"[1060.883056640625, 1850.2186279296875, 1585.938720703125, 2014.5927734375]",0.6776865124702454,MUL-521,0.8853821428923764
209,771,0,"[1059.9825439453125, 1851.5159912109375, 1594.6959228515625, 2015.0679931640625]",0.6921650767326355,MUL-521,0.6145211608540133
210,772,0,"[1057.319580078125, 1856.1190185546875, 1597.3118896484375, 2013.603271484375]",0.7125477194786072,MUL-521,0.9721794898573627
211,773,0,"[1067.421142578125, 1860.64306640625, 1588.0169677734375, 2010.536865234375]",0.7156487703323364,MUL-521,0.7043609076623473
212,774,0,"[1071.1622314453125, 1866.3271484375, 1591.352783203125, 2011.2613525390625]",0.7074353098869324,MUL-521,0.9993527353842847
213,775,0,"[1068.4892578125, 1869.4822998046875, 1592.304931640625, 2012.2001953125]",0.6995940208435059,MUL-521,0.8816003297932657
214,776,0,"[1066.0850830078125, 1869.0389404296875, 1593.895751953125, 2016.3897705078125]",0.7127393484115601,MUL-521,0.8146124031687397
215,777,0,"[1068.8988037109375, 1868.4676513671875, 1590.60546875, 2017.4884033203125]",0.7196763753890991,MUL-521,0.9831840957321227
216,778,0,"[1075.28955078125, 1871.428466796875, 1586.9598388671875, 2014.3968505859375]",0.7293567657470703,MUL-521,0.9995304266913798
217,779,0,"[1070.8699951171875, 1874.8974609375, 1588.0704345703125, 2014.8358154296875]",0.719091534614563,MUL-521,0.9998819036756185
218,780,0,"[1070.4141845703125, 1875.76513671875, 1587.5406494140625, 2016.0623779296875]",0.7130109071731567,MUL-521,0.9702768715050174
219,781,0,"[1070.9305419921875, 1876.45458984375, 1587.489013671875, 2017.2242431640625]",0.7103497385978699,MUL-521,0.9997696156223885
220,782,0,"[1072.3472900390625, 1876.837646484375, 1587.7987060546875, 2017.43994140625]",0.7131786942481995,MUL-521,0.9695547191370505
221,783,0,"[1071.9248046875, 1876.6033935546875, 1589.4320068359375, 2017.146728515625]",0.7196345925331116,MUL-521,0.9997487076058261
222,784,0,"[1070.456298828125, 1876.52783203125, 1590.4603271484375, 2017.03564453125]",0.7223168611526489,MUL-521,0.8863479985745374
223,785,0,"[1070.866455078125, 1876.5684814453125, 1590.5665283203125, 2017.1539306640625]",0.7215157747268677,MUL-521,0.8871516176675336
224,786,0,"[1071.5504150390625, 1876.5120849609375, 1590.3665771484375, 2017.20703125]",0.7222041487693787,MUL-521,0.9931185136808461
225,787,0,"[1071.4822998046875, 1876.56591796875, 1590.251708984375, 2016.298828125]",0.7249246835708618,MUL-521,0.9984296354025001
226,788,0,"[1070.436767578125, 1876.6431884765625, 1588.7764892578125, 2016.3922119140625]",0.7224897146224976,MUL-521,0.9993390890856076
227,789,0,"[1070.6416015625, 1876.1107177734375, 1588.69384765625, 2015.0269775390625]",0.7168498635292053,MUL-521,0.7509158171115771
228,790,0,"[1068.7314453125, 1875.8668212890625, 1587.6234130859375, 2015.1741943359375]",0.7189832329750061,MUL-521,0.5550778369267985
229,791,0,"[1068.0400390625, 1875.2830810546875, 1588.591552734375, 2015.1998291015625]",0.7195741534233093,MUL-521,0.9998621228894689
230,792,0,"[1074.995361328125, 1872.1636962890625, 1585.4527587890625, 2013.5928955078125]",0.7245679497718811,MUL-521,0.9211208513147285
231,793,0,"[1073.4251708984375, 1869.4508056640625, 1588.7464599609375, 2015.5682373046875]",0.7286015748977661,MUL-521,0.9954945915453505
232,794,0,"[1070.6500244140625, 1868.5458984375, 1589.792724609375, 2015.5089111328125]",0.7197099924087524,MUL-521,0.6245649151946054
233,795,0,"[1068.06298828125, 1868.8612060546875, 1594.285400390625, 2014.7259521484375]",0.717073380947113,MUL-521,0.966205665198588
234,796,0,"[1067.0115966796875, 1869.0919189453125, 1593.183837890625, 2011.9888916015625]",0.704527735710144,MUL-521,0.8261473411842047
235,797,0,"[1070.8363037109375, 1867.4915771484375, 1591.955322265625, 2010.0999755859375]",0.7054244875907898,MUL-521,0.9982187225760782
236,798,0,"[1069.6641845703125, 1861.1082763671875, 1590.024169921875, 2010.4608154296875]",0.7131702303886414,MUL-521,0.9996993208681788
237,799,0,"[1062.7647705078125, 1858.41552734375, 1591.9029541015625, 2011.4583740234375]",0.7202426195144653,MUL-521,0.9996606130112836
238,800,0,"[1059.995849609375, 1854.6639404296875, 1596.646728515625, 2012.1529541015625]",0.7141997814178467,MUL-521,0.87938937859996
239,801,0,"[1061.6624755859375, 1851.72802734375, 1593.431884765625, 2009.350341796875]",0.707265317440033,MUL-521,0.9993090299648881
240,802,0,"[1056.7567138671875, 1854.1246337890625, 1596.0732421875, 2009.7547607421875]",0.6847527623176575,MUL-521,0.7861437030915154
241,803,0,"[1062.25537109375, 1858.162353515625, 1591.2265625, 2004.957275390625]",0.6727811694145203,MUL-521,0.9991101340015621
242,804,0,"[1071.3680419921875, 1863.706787109375, 1581.7353515625, 1999.12060546875]",0.6737667322158813,MUL-521,0.9996536966534653
243,805,0,"[1075.071533203125, 1867.048095703125, 1577.8560791015625, 1998.295166015625]",0.6926354765892029,MUL-521,0.9998678904210311
244,806,0,"[1081.681396484375, 1867.6435546875, 1579.79345703125, 1998.419677734375]",0.7023985385894775,MUL-521,0.9922958252469554
245,807,0,"[1079.10693359375, 1863.85400390625, 1581.85107421875, 1999.871337890625]",0.6865681409835815,MUL-521,0.7899847433340194
246,808,0,"[1074.6241455078125, 1862.5716552734375, 1572.9583740234375, 1997.476806640625]",0.6695080995559692,MUL-521,0.9999047933570189
247,809,0,"[1075.6937255859375, 1860.8043212890625, 1565.7923583984375, 1998.0023193359375]",0.6765009760856628,MUL-521,0.7102094031513723
248,810,0,"[1080.472412109375, 1859.129638671875, 1560.228515625, 1995.1341552734375]",0.6775224208831787,MUL-521,0.9964387280043094
249,811,0,"[1082.1131591796875, 1859.5140380859375, 1561.2716064453125, 1994.1075439453125]",0.6784505248069763,MUL-521,0.9983166578671144
250,812,0,"[1083.7679443359375, 1859.3466796875, 1564.0396728515625, 1994.7403564453125]",0.6791591644287109,MUL-521,0.857322213040597
251,813,0,"[1084.9002685546875, 1859.778076171875, 1562.4598388671875, 1994.873291015625]",0.6759156584739685,MUL-521,0.9995682512212923
252,814,0,"[1085.1051025390625, 1859.709228515625, 1561.703369140625, 1994.71435546875]",0.676227867603302,MUL-521,0.9998209956979149
253,815,0,"[1083.5562744140625, 1859.80517578125, 1560.6529541015625, 1993.972412109375]",0.6801321506500244,MUL-521,0.9893653849442259
254,816,0,"[1080.6124267578125, 1859.070556640625, 1562.4056396484375, 1994.87255859375]",0.6825914978981018,MUL-521,0.9986341399258695
255,817,0,"[1078.506591796875, 1859.85791015625, 1564.550537109375, 1995.37646484375]",0.6785607933998108,MUL-521,0.9030730519148038
